filename,width,height,class,xmin,ymin,xmax,ymax
armas (946).jpg,262,192,gun,52,60,100,99
armas (947).jpg,200,155,gun,83,44,104,99
armas (948).jpg,252,200,gun,31,34,192,91
armas (949).jpg,275,183,gun,73,11,231,90
armas (95).jpg,1300,867,gun,98,171,592,398
armas (950).jpg,242,208,gun,75,33,178,105
armas (951).jpg,356,141,gun,13,5,247,94
armas (952).jpg,261,193,gun,26,17,183,117
armas (953).jpg,262,192,gun,177,54,253,106
armas (954).jpg,183,275,gun,59,52,120,164
armas (955).jpg,277,182,gun,115,45,235,91
armas (956).jpg,275,183,gun,74,44,216,93
armas (957).jpg,217,232,gun,26,41,130,103
armas (958).jpg,251,201,gun,10,21,207,108
armas (959).jpg,274,184,gun,93,69,242,127
armas (960).jpg,183,275,gun,140,37,176,79
armas (961).jpg,253,199,gun,80,33,201,104
armas (962).jpg,186,256,gun,22,92,87,244
armas (963).jpg,272,185,gun,97,37,240,103
armas (964).jpg,262,193,gun,43,18,125,88
armas (965).jpg,183,275,gun,120,19,166,84
armas (966).jpg,225,225,gun,77,93,114,177
armas (967).jpg,322,157,gun,113,26,144,104
armas (968).jpg,183,275,gun,56,209,67,245
armas (969).jpg,183,275,gun,19,38,49,92
armas (97).jpg,400,267,gun,152,46,327,126
armas (970).jpg,267,189,gun,70,27,139,86
armas (971).jpg,259,194,gun,116,89,129,126
armas (972).jpg,266,190,gun,109,23,229,114
armas (973).jpg,275,183,gun,135,55,244,182
armas (974).jpg,266,189,gun,146,3,168,48
armas (975).jpg,275,183,gun,198,35,236,128
armas (977).jpg,276,182,gun,109,77,215,154
armas (978).jpg,261,193,gun,126,17,223,65
armas (979).jpg,259,194,gun,48,33,78,45
armas (98).jpg,113,168,gun,69,48,105,96
armas (980).jpg,290,173,gun,5,7,284,96
armas (981).jpg,254,199,gun,181,81,241,103
armas (982).jpg,203,248,gun,74,80,100,158
armas (983).jpg,274,162,gun,15,20,263,90
armas (984).jpg,259,194,gun,90,121,102,150
armas (986).jpg,259,194,gun,60,71,192,194
armas (987).jpg,259,194,gun,76,63,89,73
armas (988).jpg,256,197,gun,19,54,61,72
armas (990).jpg,240,181,gun,3,21,21,31
armas (992).jpg,259,194,gun,194,5,249,34
asus.jpg,3840,2400,ASUS,2270,1080,2759,1320
gunn.jpg,2449,2449,Gun,260,274,2231,2260
IMG_20201115_203234.jpg,3024,4032,gun,1876,1418,2100,1500
IMG_20201115_203341.jpg,3024,4032,gun,1229,1589,1400,1659
IMG_3773.jpeg,3024,4032,gun,565,1242,2200,2936
IMG_3774.jpeg,3024,4032,gun,318,1065,2165,2683
IMG_3775.jpeg,4032,3024,gun,1554,575,2876,2492
IMG_3776.jpeg,4032,3024,gun,1663,888,2772,2349
IMG_3777.jpeg,3024,4032,gun,971,1183,2424,2371
IMG_3778.jpeg,3024,4032,gun,224,2330,529,2694
IMG_3780.jpeg,3024,4032,gun,218,2330,500,2653
IMG_3781.jpeg,3024,4032,gun,229,2336,500,2665
IMG_3782.jpeg,3024,4032,gun,235,2330,500,2659
IMG_3783.jpeg,3024,4032,gun,512,2230,706,2577
IMG_3784.jpeg,3024,4032,gun,35,1136,571,1524
IMG_3785.jpeg,3024,4032,gun,41,994,565,1383
IMG_3786.jpeg,3024,4032,gun,112,1889,606,2247
IMG_3787.jpeg,3024,4032,gun,329,2159,759,2512
IMG_3788.jpeg,3024,4032,gun,635,2106,888,2494
IMG_3789.jpeg,3024,4032,gun,1094,642,1200,871
IMG_3790.jpeg,3024,4032,gun,876,1042,947,1283
IMG_3791.jpeg,3024,4032,gun,818,1065,935,1324
IMG_3792.jpeg,3024,4032,gun,912,1412,1024,1677
IMG_3793.jpeg,3024,4032,gun,900,1659,1000,1953
IMG_3794.jpeg,3024,4032,gun,906,1900,1012,2242
IMG_3795.jpeg,3024,4032,gun,1024,2112,1241,2518
IMG_3796.jpeg,3024,4032,gun,1024,2242,1253,2653
IMG_3797.jpeg,3024,4032,gun,947,824,1165,947
IMG_3798.jpeg,3024,4032,gun,935,883,1171,1018
IMG_3799.jpeg,3024,4032,gun,924,947,1153,1112
IMG_3800.jpeg,3024,4032,gun,1812,877,2229,1106
IMG_3801.jpeg,3024,4032,gun,1871,1477,2282,1736
IMG_3802.jpeg,3024,4032,gun,1700,1900,2065,2206
IMG_3803.jpeg,3024,4032,gun,2441,953,2882,1294
IMG_3804.jpeg,3024,4032,gun,2141,1089,2565,1442
IMG_3805.jpeg,3024,4032,gun,2012,1506,2424,1753
IMG_3806.jpeg,3024,4032,gun,1924,1800,2318,2094
IMG_3807.jpeg,3024,4032,gun,1771,2136,2041,2453
IMG_3808.jpeg,3024,4032,gun,1747,2230,2024,2577
IMG_3809.jpeg,3024,4032,gun,1118,1059,1212,1318
IMG_3810.jpeg,3024,4032,gun,1247,1424,1347,1706
IMG_3811.jpeg,3024,4032,gun,1282,1965,1376,2336
IMG_3812.jpeg,3024,4032,gun,306,2083,818,2324
IMG_3813.jpeg,3024,4032,gun,312,2136,818,2383
IMG_3814.jpeg,3024,4032,gun,306,2142,776,2477
IMG_3815.jpeg,3024,4032,gun,165,2065,718,2347
IMG_3816.jpeg,3024,4032,gun,306,2159,724,2436
IMG_3817.jpeg,3024,4032,gun,1429,1136,1518,1318
IMG_3818.jpeg,3024,4032,gun,900,2430,1059,2712
IMG_3819.jpeg,3024,4032,gun,1247,2142,1335,2447
IMG_3820.jpeg,3024,4032,gun,1441,1247,1588,1442
IMG_3821.jpeg,3024,4032,gun,1600,1142,1747,1400
IMG_3822.jpeg,3024,4032,gun,2265,1136,2594,1318
IMG_3823.jpeg,3024,4032,gun,1971,1977,2300,2183
IMG_3824.jpeg,3024,4032,gun,747,1577,1076,1747
IMG_3825.jpeg,3024,4032,gun,1206,1877,1306,2153
IMG_3826.jpeg,3024,4032,gun,1200,1912,1294,2189
IMG_3827.jpeg,3024,4032,gun,665,2353,953,2565
IMG_3828.jpeg,3024,4032,gun,676,2365,900,2577
IMG_3829.jpeg,3024,4032,gun,2059,2018,2324,2218
IMG_3830.jpeg,3024,4032,gun,1765,1906,1971,2171
IMG_3831.jpeg,3024,4032,gun,1376,1018,1512,1377
IMG_3832.jpeg,3024,4032,gun,71,1183,576,1430
IMG_3833.jpeg,3024,4032,gun,47,989,500,1130
IMG_3834.jpeg,3024,4032,gun,2071,1106,2382,1283
IMG_3835.jpeg,3024,4032,gun,2035,1224,2441,1377
IMG_3836.jpeg,3024,4032,gun,882,918,1212,1177
IMG_3837.jpeg,3024,4032,gun,2406,1265,2747,1447
IMG_3838.jpeg,3024,4032,gun,994,806,1294,1053
IMG_3839.jpeg,3024,4032,gun,1376,1812,1500,2183
IMG_3840.jpeg,3024,4032,gun,2218,700,2600,889
IMG_3841.jpeg,3024,4032,gun,2229,742,2606,947
IMG_3842.jpeg,3024,4032,gun,2224,1700,2547,1953
IMG_3843.jpeg,3024,4032,gun,559,1506,912,1724
IMG_3844.jpeg,3024,4032,gun,1182,1330,1400,1489
IMG_3845.jpeg,3024,4032,gun,2124,1818,2482,2024
IMG_3846.jpeg,3024,4032,gun,1994,2165,2312,2406
IMG_3847.jpeg,3024,4032,gun,912,1077,1229,1312
IMG_3848.jpeg,3024,4032,gun,288,1042,724,1283
IMG_3849.jpeg,3024,4032,gun,2341,1747,2794,2012
IMG_3850.jpeg,3024,4032,gun,1453,1147,1571,1377
IMG_3851.jpeg,3024,4032,gun,2118,1665,2394,1842
IMG_3852.jpeg,3024,4032,gun,682,994,1024,1206
IMG_3853.jpeg,3024,4032,gun,2047,1665,2382,1889
IMG_3854.jpeg,3024,4032,gun,1494,677,1653,936
IMG_3855.jpeg,3024,4032,gun,806,1018,1100,1230
IMG_3856.jpeg,3024,4032,gun,1947,983,2324,1200
IMG_3885.jpeg,3024,4032,gun,600,930,1006,1171
IMG_3886.jpeg,3024,4032,gun,2059,1030,2406,1224
IMG_3887.jpeg,3024,4032,gun,435,765,888,1059
IMG_3888.jpeg,3024,4032,gun,2159,1665,2312,1812
IMG_3889.jpeg,3024,4032,gun,1429,647,1553,877
IMG_3890.jpeg,3024,4032,gun,529,712,876,965
IMG_3891.jpeg,3024,4032,gun,2212,942,2547,1194
IMG_3892.jpeg,3024,4032,gun,1747,2183,2100,2524
IMG_3910.jpeg,3024,4032,gun,294,824,829,1147
IMG_3911.jpeg,3024,4032,gun,2406,1583,2971,1959
IMG_3915.jpeg,3024,4032,gun,559,1030,1053,1300
IMG_3916.jpeg,3024,4032,gun,2118,1006,2535,1259
IMG_3917.jpeg,3024,4032,gun,1182,1906,1418,2265
IMG_3921.jpeg,3024,4032,gun,729,1077,1141,1306
IMG_3922.jpeg,3024,4032,gun,1453,983,1582,1359
IMG_3923.jpeg,3024,4032,gun,1988,1871,2418,2136
IMG_3926.jpeg,3024,4032,gun,676,1106,1059,1459
IMG_3927.jpeg,3024,4032,gun,565,859,971,1142
IMG_3930.jpeg,3024,4032,gun,324,994,924,1294
IMG_3931.jpeg,3024,4032,gun,1847,1118,2129,1306
IMG_3934.jpeg,3024,4032,gun,324,959,859,1265
IMG_3935.jpeg,3024,4032,gun,2306,1059,2712,1300
IMG_3936.jpeg,3024,4032,gun,1376,765,1512,1165
IMG_3937.jpeg,3024,4032,gun,1,1442,506,1706
IMG_3938.jpeg,3024,4032,gun,2094,1242,2494,1477
IMG_3945.jpeg,3024,4032,gun,1171,1859,1741,2512
IMG_3946.jpeg,2928,2812,gun,1288,1200,1864,1856
IMG_3976.jpeg,3024,4032,gun,1206,906,1541,1142
IMG_3977.jpeg,3024,4032,gun,1571,889,1912,1171
IMG_3978.jpeg,3024,4032,gun,2224,1789,2494,2065
IMG_3979.jpeg,3024,4032,gun,1912,889,2012,1165
IMG_3991.jpeg,3024,4032,gun,853,1218,1224,1465
IMG_3992.jpeg,3024,4032,gun,2441,1242,2788,1471
IMG_3993.jpeg,3024,4032,gun,1518,1259,1624,1559
IMG_3996.jpeg,3024,4032,gun,429,847,876,1236
IMG_3997.jpeg,3024,4032,gun,1906,1047,2394,1312
IMG_3998.jpeg,3024,4032,gun,482,883,953,1130
IMG_4007.jpeg,3024,4032,gun,2065,636,2182,1053
IMG_4008.jpeg,3024,4032,gun,935,947,1418,1242
IMG_4010.jpeg,3024,4032,gun,2124,1330,2406,1536
IMG_4011.jpeg,3024,4032,gun,1794,983,2153,1224
IMG_4014.jpeg,3024,4032,gun,1988,1194,2359,1424
IMG_4018.jpeg,3024,4032,gun,1476,1453,1729,1624
IMG_4019.jpeg,3024,4032,gun,1447,1471,1729,1624
IMG_4020.jpeg,3024,4032,gun,1912,1365,2018,1571
IMG_4023.jpeg,3024,4032,gun,2541,983,2953,1300
IMG_4024.jpeg,3024,4032,gun,1188,1006,1594,1194
IMG_4029.jpeg,3024,4032,gun,1194,1447,1376,1600
IMG_4038.jpeg,3024,4032,gun,1265,1365,1512,1659
IMG_4039.jpeg,3024,4032,gun,1141,1430,1412,1677
IMG_4040.jpeg,3024,4032,gun,1265,2083,1488,2289
IMG_4043.jpeg,3024,4032,gun,1465,883,1565,1047
IMG_4044.jpeg,3024,4032,gun,1459,853,1535,971
IMG_4045.jpeg,3024,4032,gun,1212,859,1288,1083
IMG_4046.jpeg,3024,4032,gun,335,1947,771,2218
IMG_4047.jpeg,3024,4032,gun,2488,1400,2765,1706
IMG_4055.jpeg,3024,4032,gun,682,1330,1082,1559
IMG_4056.jpeg,3024,4032,gun,1588,718,1729,1071
